CONC,84,202.4,10
COUR,39,31,9.5
CRJ1,69.6,87.8,14.7
CRJ2,68.7,87.8,13.3
CRJ7,76.3,106.6,16.4
CRJ9,81.5,118.8,16.4
CRUZ,28.8,21.3,7.4
CVLP,91.8,79.2,28.1
CVLT,105.3,95.8,24.1
D328,68.8,69.8,14.9
DA40,39.2,26.3,10
DA42,44.5,28.1,10
DC10,165.3,181.6,43.2
DC3,95.2,64.7,20.1
DC3S,90,67.8,20.1
DC6,117.5,100.6,28.5
DC87,148.4,187.7,24.9
DC91,89.4,104.4,17.8
DC93,93.3,119.3,18.4
DC95,93.4,133.6,18.2
DH8A,85,73,28.1
DH8B,85,73,28.1
DH8C,90,84.3,28.1
DH8D,93.3,107.8,31.4
DHC2,48,30.3,10.6
DHC6,65,51.8,14.9
DHC7,93,80.5,28.1
DV20,35.7,23.5,6.7
E110,50.3,50.3,17
E120,64.9,65.7,23.5
E135,65.8,93.4,15.7
E145,65.8,98,15.7
E170,85.3,98.1,20.5
E190,94.2,118.9,22.9
E195,94.2,126.8,23.8
E290,110.6,118.8,22.4
E295,115.2,136.2,23.8
E35L,69.2,86.4,15.7
E45X,65.6,98,15.7
E50P,40.3,42.1,10
E545,66.4,64.6,6.6
E550,66.5,68,6.8
E55P,52.2,51.3,10
E75L,101.7,106,29.6
E75S,94.2,103.9,14.8
EA50,37.3,33.1,10.9
ERCO,30,20.8,9.5
EVOT,37,30,15.8
F15,42.8,63.8,10.8
F16,32.7,49.4,8.7
F18H,40.4,56,11.7
F18S,44.7,60.1,11.7
F22,44.5,62.1,11.5
F2TH,63.4,66.3,16.6
F406,49.5,39,14.5
F900,63.4,66.3,16.6
FA10,42.9,45.5,5.4
FA20,53.5,56.3,13.9
FA50,61.9,60.8,16.1
FA7X,86,76.1,17.2
FA8X,86.3,80.2,17.2
FDCT,28.1,21.7,6.2
G150,55.6,56.8,11.1
G164,42.3,25.9,8.7
G280,63,66.8,12.6
GA5C,87.1,91.2,17.2
GA6C,95,96.1,16
GA7,36.8,28.7,11.6
GALX,58.1,62.3,12
GC1,29.3,20.8,10.5
GL5T,94,96.8,16
GL7T,104.3,110.6,16
GLEX,94,99.4,16
GLF2,68.8,79.9,13.8
GLF3,77.8,83.1,15.6
GLF4,77.8,88.3,15.7
GLF5,93.5,96.4,15.9
GLF6,99.6,99.8,16
H25A,47,50.5,10.7
H25B,51.4,51.2,11.2
H25C,51.4,53.9,12
HA4T,61.8,69.2,11
HAWK,32.6,37.4,12
