LOGIN:EGPX:SCOTTISH CTL:S
LOGIN:SCOE:SCOTTISH CTL:SE
LOGIN:SCON:SCOTTISH CTL:SN
LOGIN:SCHC:SCOTTISH CTL:SHC
LOGIN:SCCE:SCOTTISH CTL:CEN
LOGIN:SCHE:SCOTTISH CTL:HEB
LOGIN:SCOS:SCOTTISH CTL:SS
LOGIN:SCHU:SCOTTISH CTL:HUM
LOGIN:SCWB:SCOTTISH CTL:SWB
LOGIN:SCOW:SCOTTISH CTL:SW
LOGIN:SCOR:SCOTTISH CTL:RAT
LOGIN:SCOB:SCOTTISH CTL:BDS
LOGIN:SCOP:SCOTTISH CTL:PEN
LOGIN:SCSO:SCOTTISH CTL:SOL
LOGIN:SCOG:SCOTTISH CTL:GRP
