# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

# EGBB
EGFF,12,BCN,LECKI,2
EGFF,12,EXMOR,BCN,1
EGFF,12,EXMOR,EXMOR,2
EGFF,12,EXMOR,LECKI,1
EGFF,12,LECKI,BCN,2
EGFF,12,LECKI,EXMOR,1
EGFF,12,LECKI,LECKI,2
EGFF,30,BCN,BCN,2
EGFF,30,BCN,EXMOR,1
EGFF,30,EXMOR,BCN,1
EGFF,30,EXMOR,EXMOR,2

# EGGD
EGGD,09,BCN,BCN,2
EGGD,09,BCN,EXMOR,2
EGGD,09,BCN,YORQI,2
EGGD,09,EXMOR,BCN,2
EGGD,09,EXMOR,EXMOR,2
EGGD,09,EXMOR,YORQI,2
EGGD,09,YORQI,BCN,2
EGGD,09,YORQI,EXMOR,2
EGGD,09,YORQI,YORQI,2
EGGD,27,BCN,BCN,2
EGGD,27,BCN,EXMOR,2
EGGD,27,BCN,HAWFA,2
EGGD,27,EXMOR,BCN,2
EGGD,27,EXMOR,EXMOR,2
EGGD,27,EXMOR,HAWFA,2
EGGD,27,HAWFA,BCN,2
EGGD,27,HAWFA,EXMOR,2
EGGD,27,HAWFA,HAWFA,2

# EGGP
EGGP,09,BARTN,BARTN,2
EGGP,09,BARTN,NANTI,2
EGGP,09,BARTN,POL,2
EGGP,09,BARTN,REXAM,2
EGGP,09,BARTN,WAL,2
EGGP,09,NANTI,BARTN,2
EGGP,09,NANTI,NANTI,2
EGGP,09,NANTI,POL,2
EGGP,09,NANTI,REXAM,2
EGGP,09,NANTI,WAL,2
EGGP,09,POL,BARTN,2
EGGP,09,POL,NANTI,2
EGGP,09,POL,POL,2
EGGP,09,POL,REXAM,2
EGGP,09,POL,WAL,2
EGGP,09,REXAM,BARTN,2
EGGP,09,REXAM,NANTI,2
EGGP,09,REXAM,POL,2
EGGP,09,REXAM,REXAM,2
EGGP,09,REXAM,WAL,2
EGGP,09,WAL,BARTN,2
EGGP,09,WAL,NANTI,2
EGGP,09,WAL,POL,2
EGGP,09,WAL,REXAM,2
EGGP,09,WAL,WAL,2
EGGP,27,BARTN,BARTN,2
EGGP,27,BARTN,NANTI,2
EGGP,27,BARTN,POL,2
EGGP,27,BARTN,REXAM,2
EGGP,27,BARTN,WAL,2
EGGP,27,NANTI,BARTN,2
EGGP,27,NANTI,NANTI,2
EGGP,27,NANTI,POL,2
EGGP,27,NANTI,REXAM,2
EGGP,27,NANTI,WAL,2
EGGP,27,POL,BARTN,2
EGGP,27,POL,NANTI,2
EGGP,27,POL,POL,2
EGGP,27,POL,REXAM,2
EGGP,27,POL,WAL,2
EGGP,27,REXAM,BARTN,2
EGGP,27,REXAM,NANTI,2
EGGP,27,REXAM,POL,2
EGGP,27,REXAM,REXAM,2
EGGP,27,REXAM,WAL,2
EGGP,27,WAL,BARTN,2
EGGP,27,WAL,NANTI,2
EGGP,27,WAL,POL,2
EGGP,27,WAL,REXAM,2
EGGP,27,WAL,WAL,2

# EGGW
EGGW,07,DET,DET,2
EGGW,07,DET,MATCH,2
EGGW,07,DET,OLNEY,1
EGGW,07,DET,RODNI,1
EGGW,07,MATCH,DET,2
EGGW,07,MATCH,MATCH,2
EGGW,07,MATCH,OLNEY,1
EGGW,07,MATCH,RODNI,1
EGGW,07,OLNEY,DET,1
EGGW,07,OLNEY,MATCH,1
EGGW,07,OLNEY,OLNEY,2
EGGW,07,OLNEY,RODNI,1
EGGW,07,RODNI,DET,4
EGGW,07,RODNI,MATCH,4
EGGW,07,RODNI,OLNEY,4
EGGW,07,RODNI,RODNI,4
EGGW,25,DET,DET,2
EGGW,25,DET,MATCH,2
EGGW,25,DET,OLNEY,2
EGGW,25,DET,RODNI,2
EGGW,25,MATCH,DET,2
EGGW,25,MATCH,MATCH,2
EGGW,25,MATCH,OLNEY,2
EGGW,25,MATCH,RODNI,2
EGGW,25,OLNEY,DET,1
EGGW,25,OLNEY,MATCH,1
EGGW,25,OLNEY,OLNEY,2
EGGW,25,OLNEY,RODNI,2
EGGW,25,RODNI,DET,1
EGGW,25,RODNI,MATCH,1
EGGW,25,RODNI,OLNEY,2
EGGW,25,RODNI,RODNI,2

# EGJB
EGJB,09,DIN,DIN,2
EGJB,09,DIN,GULDA,2
EGJB,09,DIN,LERAK,2
EGJB,09,DIN,LUSIT,2
EGJB,09,DIN,ORIST,2
EGJB,09,DIN,ORTAC,2
EGJB,09,DIN,ORVAL,2
EGJB,09,DIN,SKERY,2
EGJB,09,GULDA,DIN,2
EGJB,09,GULDA,GULDA,2
EGJB,09,GULDA,LERAK,2
EGJB,09,GULDA,LUSIT,2
EGJB,09,GULDA,ORIST,2
EGJB,09,GULDA,ORTAC,2
EGJB,09,GULDA,ORVAL,2
EGJB,09,GULDA,SKERY,2
EGJB,09,LERAK,DIN,2
EGJB,09,LERAK,GULDA,2
EGJB,09,LERAK,LERAK,2
EGJB,09,LERAK,LUSIT,2
EGJB,09,LERAK,ORIST,2
EGJB,09,LERAK,ORTAC,2
EGJB,09,LERAK,ORVAL,2
EGJB,09,LERAK,SKERY,2
EGJB,09,LUSIT,DIN,2
EGJB,09,LUSIT,GULDA,2
EGJB,09,LUSIT,LERAK,2
EGJB,09,LUSIT,LUSIT,2
EGJB,09,LUSIT,ORIST,2
EGJB,09,LUSIT,ORTAC,2
EGJB,09,LUSIT,ORVAL,2
EGJB,09,LUSIT,SKERY,2
EGJB,09,ORIST,DIN,2
EGJB,09,ORIST,GULDA,2
EGJB,09,ORIST,LERAK,2
EGJB,09,ORIST,LUSIT,2
EGJB,09,ORIST,ORIST,2
EGJB,09,ORIST,ORTAC,2
EGJB,09,ORIST,ORVAL,2
EGJB,09,ORIST,SKERY,2
EGJB,09,ORTAC,DIN,2
EGJB,09,ORTAC,GULDA,2
EGJB,09,ORTAC,LERAK,2
EGJB,09,ORTAC,LUSIT,2
EGJB,09,ORTAC,ORIST,2
EGJB,09,ORTAC,ORTAC,2
EGJB,09,ORTAC,ORVAL,2
EGJB,09,ORTAC,SKERY,2
EGJB,09,ORVAL,DIN,2
EGJB,09,ORVAL,GULDA,2
EGJB,09,ORVAL,LERAK,2
EGJB,09,ORVAL,LUSIT,2
EGJB,09,ORVAL,ORIST,2
EGJB,09,ORVAL,ORTAC,2
EGJB,09,ORVAL,ORVAL,2
EGJB,09,ORVAL,SKERY,2
EGJB,09,SKERY,DIN,2
EGJB,09,SKERY,GULDA,2
EGJB,09,SKERY,LERAK,2
EGJB,09,SKERY,LUSIT,2
EGJB,09,SKERY,ORIST,2
EGJB,09,SKERY,ORTAC,2
EGJB,09,SKERY,ORVAL,2
EGJB,09,SKERY,SKERY,2
EGJB,27,DIN,DIN,2
EGJB,27,DIN,GULDA,2
EGJB,27,DIN,LERAK,2
EGJB,27,DIN,LUSIT,2
EGJB,27,DIN,ORIST,2
EGJB,27,DIN,ORTAC,2
EGJB,27,DIN,ORVAL,2
EGJB,27,DIN,SKERY,2
EGJB,27,GULDA,DIN,2
EGJB,27,GULDA,GULDA,2
EGJB,27,GULDA,LERAK,2
EGJB,27,GULDA,LUSIT,2
EGJB,27,GULDA,ORIST,2
EGJB,27,GULDA,ORTAC,2
EGJB,27,GULDA,ORVAL,2
EGJB,27,GULDA,SKERY,2
EGJB,27,LERAK,DIN,2
EGJB,27,LERAK,GULDA,2
EGJB,27,LERAK,LERAK,2
EGJB,27,LERAK,LUSIT,2
EGJB,27,LERAK,ORIST,2
EGJB,27,LERAK,ORTAC,2
EGJB,27,LERAK,ORVAL,2
EGJB,27,LERAK,SKERY,2
EGJB,27,LUSIT,DIN,2
EGJB,27,LUSIT,GULDA,2
EGJB,27,LUSIT,LERAK,2
EGJB,27,LUSIT,LUSIT,2
EGJB,27,LUSIT,ORIST,2
EGJB,27,LUSIT,ORTAC,2
EGJB,27,LUSIT,ORVAL,2
EGJB,27,LUSIT,SKERY,2
EGJB,27,ORIST,DIN,2
EGJB,27,ORIST,GULDA,2
EGJB,27,ORIST,LERAK,2
EGJB,27,ORIST,LUSIT,2
EGJB,27,ORIST,ORIST,2
EGJB,27,ORIST,ORTAC,2
EGJB,27,ORIST,ORVAL,2
EGJB,27,ORIST,SKERY,2
EGJB,27,ORTAC,DIN,2
EGJB,27,ORTAC,GULDA,2
EGJB,27,ORTAC,LERAK,2
EGJB,27,ORTAC,LUSIT,2
EGJB,27,ORTAC,ORIST,2
EGJB,27,ORTAC,ORTAC,2
EGJB,27,ORTAC,ORVAL,2
EGJB,27,ORTAC,SKERY,2
EGJB,27,ORVAL,DIN,2
EGJB,27,ORVAL,GULDA,2
EGJB,27,ORVAL,LERAK,2
EGJB,27,ORVAL,LUSIT,2
EGJB,27,ORVAL,ORIST,2
EGJB,27,ORVAL,ORTAC,2
EGJB,27,ORVAL,ORVAL,2
EGJB,27,ORVAL,SKERY,2
EGJB,27,SKERY,DIN,2
EGJB,27,SKERY,GULDA,2
EGJB,27,SKERY,LERAK,2
EGJB,27,SKERY,LUSIT,2
EGJB,27,SKERY,ORIST,2
EGJB,27,SKERY,ORTAC,2
EGJB,27,SKERY,ORVAL,2
EGJB,27,SKERY,SKERY,2

# EGJJ
